record_kind,method,full_path,route_prefix,route_name,source_file,line,router_module,registered,auth_dependencies,authorization_scope,service_references,response_model,notes
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-decisions,/api/agencies/{agency_id},list_agency_feature_bundle_rollout_decisions,backend/routers/agency_feature_bundle_rollout_decisions.py,26,routers.agency_feature_bundle_rollout_decisions,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutDecisionService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-decisions/summary,/api/agencies/{agency_id},summarize_agency_feature_bundle_rollout_decisions,backend/routers/agency_feature_bundle_rollout_decisions.py,46,routers.agency_feature_bundle_rollout_decisions,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutDecisionService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-decisions/{decision_id},/api/agencies/{agency_id},get_agency_feature_bundle_rollout_decision,backend/routers/agency_feature_bundle_rollout_decisions.py,56,routers.agency_feature_bundle_rollout_decisions,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutDecisionService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-issues,/api/agencies/{agency_id},list_agency_feature_bundle_rollout_issues,backend/routers/agency_feature_bundle_rollout_issues.py,26,routers.agency_feature_bundle_rollout_issues,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutIssueService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-issues/summary,/api/agencies/{agency_id},summarize_agency_feature_bundle_rollout_issues,backend/routers/agency_feature_bundle_rollout_issues.py,52,routers.agency_feature_bundle_rollout_issues,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutIssueService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-issues/{issue_id},/api/agencies/{agency_id},get_agency_feature_bundle_rollout_issue,backend/routers/agency_feature_bundle_rollout_issues.py,62,routers.agency_feature_bundle_rollout_issues,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutIssueService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-plans,/api/agencies/{agency_id},list_agency_feature_bundle_rollout_plans,backend/routers/agency_feature_bundle_rollout_plans.py,26,routers.agency_feature_bundle_rollout_plans,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutPlanService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-plans/summary,/api/agencies/{agency_id},summarize_agency_feature_bundle_rollout_plans,backend/routers/agency_feature_bundle_rollout_plans.py,37,routers.agency_feature_bundle_rollout_plans,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutPlanService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-plans/{rollout_plan_id},/api/agencies/{agency_id},get_agency_feature_bundle_rollout_plan,backend/routers/agency_feature_bundle_rollout_plans.py,47,routers.agency_feature_bundle_rollout_plans,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutPlanService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-readiness,/api/agencies/{agency_id},list_agency_feature_bundle_rollout_readiness,backend/routers/agency_feature_bundle_rollout_readiness.py,22,routers.agency_feature_bundle_rollout_readiness,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutReadinessService;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
